cnae,p49100_h1,p40800_h1,p40100_mas_40500_h1,p31200_h1,p32300_h1,p10000_h1,p20000_h1,target_status
6420,1245706.0,-37372.0,1537804.0,2616.0,14692.0,27507981.0,20583543.0,0
6920,43645.7759,-9186.537219999998,1174198.45814,117829.59878999999,19535.45511,481862.87354,265326.71258,0
3516,172974.0,-70492.0,1037849.0,2803.0,392804.0,1760164.0,1127238.0,0
4646,395.20303,-57.19989,1151038.7901,183.11781,106.38386,114298.81384999999,2834.4429099999998,0
3522,637223.0,-27655.0,1140714.0,120641.0,1325.0,1430928.0,1066393.0,0
4646,586047.0,-4798.0,1354327.0,130.0,0.0,958397.0,451267.0,0
3519,95765.0,-19091.0,1201960.0,426862.0,90634.0,2283241.0,403899.0,0
8299,0.0,0.0,9052107.0,0.0,0.0,362209032.0,31257121.0,0
6110,285217.0,-378971.0,1545361.0,1249.0,267.0,5066438.0,392077.0,0
6920,210036.0,-32000.0,1192037.0,403184.0,106274.0,2179799.0,889334.0,0
3600,264421.0,-126884.0,1136342.0,682897.0,144051.0,5091299.0,3136995.0,0
7022,-60054.0,-17842.0,1035965.0,4709.0,27563.0,657157.0,158860.0,0
4711,41261.071500000005,-28028.48023,1181733.864619,54440.6541,37063.076180000004,494389.86876,199567.73293,0
4950,610178.0,-257449.0,1173079.0,174544.0,1692.0,7057793.0,2441662.0,0
4211,28082.0,-11985.0,1014909.0,75284.0,167595.0,2087986.0,408102.0,0
7490,133474.0,-83196.0,1352573.0,1789684.0,91592.0,2126431.0,-336045.0,0
1105,120165.67555999999,-63975.91396,1044971.06596,442341.87178,40713.83211,1567709.3785100002,750548.66148,0
6420,0.0,0.0,9060817.0,0.0,0.0,361513992.0,30726997.0,0
6511,0.0,0.0,1328027.0,0.0,0.0,7482568.0,451739.0,0
1105,170799.141,-40945.414,1116846.428,52498.712,0.0,1564431.5450000002,1211096.289,0
6420,65809.0,-51452.0,1092271.0,446078.0,212072.0,1286650.0,287989.0,0
4511,-11676.0,-2875.0,1022291.0,110.0,0.0,319359.0,14064.0,0
7911,32242.0,-89.0,1113847.0,0.0,4955.0,372672.0,33681.0,0
2042,109250.0,-22901.0,1140118.0,1951.0,6966.0,633041.0,127145.0,0
1013,89006.829,-28111.618000000002,1050054.746,16512.674,120953.90999999999,645009.045,392146.904,0
